time,TracKPosX,TracKPosY,TracKPosZ,Speed,GazeOrigin,eyeHitSite,eyeHitType,
2024-05-08 15:29:19:564,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.525,x=340188.188_y=433884.125_z=65.539,3
2024-05-08 15:29:19:592,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.528,x=340182.469_y=433877.312_z=65.622,3
2024-05-08 15:29:19:619,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.515,x=340206.312_y=433894.125_z=65.449,3
2024-05-08 15:29:19:648,341034.719,434805.125,59.508,0.000,x=341053.719_y=434832.656_z=86.507,x=340211.125_y=433899.406_z=65.386,3
2024-05-08 15:29:19:676,341034.719,434805.125,59.508,0.000,x=341053.719_y=434832.656_z=86.474,x=340223.719_y=433911.656_z=65.245,3
2024-05-08 15:29:19:703,341034.719,434805.125,59.508,0.000,x=341053.719_y=434832.656_z=86.488,x=340239.531_y=433920.125_z=65.169,3
2024-05-08 15:29:19:732,341027.938,434798.531,59.413,0.000,x=341053.719_y=434832.656_z=86.496,x=340225.938_y=433905.125_z=65.348,3
2024-05-08 15:29:19:759,341027.594,434798.188,59.408,0.000,x=341046.906_y=434826.031_z=86.403,x=340224.750_y=433904.156_z=65.359,3
2024-05-08 15:29:19:787,341026.719,434797.250,59.396,0.000,x=341046.562_y=434825.688_z=86.397,x=340208.781_y=433882.312_z=65.631,3
2024-05-08 15:29:19:814,341025.906,434796.406,59.384,0.000,x=341045.719_y=434824.781_z=86.386,x=340192.500_y=433858.062_z=65.938,3
2024-05-08 15:29:19:843,341025.000,434795.438,59.372,0.000,x=341044.875_y=434823.938_z=86.379,x=340185.875_y=433848.812_z=66.054,3
2024-05-08 15:29:19:871,341024.062,434794.438,59.359,0.000,x=341044.000_y=434822.969_z=86.378,x=340395.688_y=434091.812_z=96.047,3
2024-05-08 15:29:19:898,341023.562,434793.906,59.352,0.000,x=341043.062_y=434821.969_z=86.371,x=340399.188_y=434092.531_z=96.047,3
2024-05-08 15:29:19:928,341022.500,434792.781,59.337,0.000,x=341042.562_y=434821.438_z=86.376,x=340395.844_y=434088.281_z=96.047,3
2024-05-08 15:29:19:956,341021.375,434791.562,59.322,0.000,x=341041.531_y=434820.312_z=86.370,x=340396.719_y=434089.594_z=96.047,3
2024-05-08 15:29:19:983,341020.188,434790.312,59.305,0.000,x=341040.406_y=434819.125_z=86.351,x=340381.250_y=434074.219_z=96.047,3
