time,Obj1,Obj2,Obj3,
2024-05-08 15:29:29:820,AheadCar_0_0 x=334658.46875 y=427726.21875 z=125.822998,SidewaysCar_0_0 x=335741.8125 y=430041.9375 z=95.597,
2024-05-08 15:29:29:845,AheadCar_0_0 x=334631.28125 y=427693.28125 z=126.267998,SidewaysCar_0_0 x=335739.21875 y=430038.5625 z=95.640999,
2024-05-08 15:29:29:870,AheadCar_0_0 x=334604.3125 y=427660.53125 z=126.709999,SidewaysCar_0_0 x=335736.34375 y=430034.8125 z=95.689003,
2024-05-08 15:29:29:895,AheadCar_0_0 x=334580.40625 y=427631.5625 z=127.101997,SidewaysCar_0_0 x=335733.625 y=430031.21875 z=95.724998,
2024-05-08 15:29:29:920,AheadCar_0_0 x=334580.40625 y=427631.5625 z=127.101997,SidewaysCar_0_0 x=335733.625 y=430031.21875 z=95.724998,
2024-05-08 15:29:29:945,AheadCar_0_0 x=334555.71875 y=427601.625 z=127.505997,SidewaysCar_0_0 x=335730.5 y=430027.125 z=95.713997,
2024-05-08 15:29:29:970,AheadCar_0_0 x=334529.28125 y=427569.625 z=127.938004,SidewaysCar_0_0 x=335726.875 y=430022.40625 z=95.775002,
2024-05-08 15:29:29:995,AheadCar_0_0 x=334503.96875 y=427538.96875 z=128.298004,SidewaysCar_0_0 x=335723.125 y=430017.53125 z=95.837997,
2024-05-08 15:29:30:020,AheadCar_0_0 x=334478.625 y=427508.3125 z=128.647995,SidewaysCar_0_0 x=335719.15625 y=430012.34375 z=95.904999,
2024-05-08 15:29:30:045,AheadCar_0_0 x=334455.96875 y=427480.90625 z=128.960007,SidewaysCar_0_0 x=335715.4375 y=430007.4375 z=95.968002,
2024-05-08 15:29:30:070,AheadCar_0_0 x=334429.8125 y=427449.28125 z=129.320999,SidewaysCar_0_0 x=335710.8125 y=430001.40625 z=96.044998,
2024-05-08 15:29:30:095,AheadCar_0_0 x=334402.96875 y=427416.84375 z=129.690994,SidewaysCar_0_0 x=335705.8125 y=429994.875 z=96.129997,
2024-05-08 15:29:30:120,AheadCar_0_0 x=334379.40625 y=427388.34375 z=130.014999,SidewaysCar_0_0 x=335701.21875 y=429988.875 z=96.207001,
2024-05-08 15:29:30:145,AheadCar_0_0 x=334354.0625 y=427357.75 z=130.363998,SidewaysCar_0_0 x=335696.03125 y=429982.09375 z=96.293999,
2024-05-08 15:29:30:170,AheadCar_0_0 x=334328.4375 y=427326.84375 z=130.746002,SidewaysCar_0_0 x=335690.46875 y=429974.8125 z=96.332001,
2024-05-08 15:29:30:195,AheadCar_0_0 x=334305.5 y=427299.1875 z=131.123001,SidewaysCar_0_0 x=335685.28125 y=429968.0 z=96.25,
2024-05-08 15:29:30:220,AheadCar_0_0 x=334278.8125 y=427267.03125 z=131.561005,SidewaysCar_0_0 x=335678.9375 y=429959.71875 z=95.972,
2024-05-08 15:29:30:245,AheadCar_0_0 x=334254.28125 y=427237.4375 z=131.964005,SidewaysCar_0_0 x=335672.9375 y=429951.84375 z=95.698997,
2024-05-08 15:29:30:270,AheadCar_0_0 x=334230.5 y=427208.84375 z=132.354004,SidewaysCar_0_0 x=335666.875 y=429943.90625 z=95.603996,
2024-05-08 15:29:30:295,AheadCar_0_0 x=334205.34375 y=427178.5625 z=132.766006,SidewaysCar_0_0 x=335660.21875 y=429935.1875 z=95.5,
