time,Obj1,Obj2,Obj3,
2024-05-08 15:29:16:009,
2024-05-08 15:29:16:033,
2024-05-08 15:29:16:058,
2024-05-08 15:29:16:083,
2024-05-08 15:29:16:111,
2024-05-08 15:29:17:423,id=386496144C781D77536130A25FC15593_0 x=331841.214567 y=423467.287008 z=233.118045,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331728.732864 y=423315.440257 z=230.296408,
2024-05-08 15:29:17:447,id=386496144C781D77536130A25FC15593_0 x=331840.73484 y=423467.631091 z=233.132981,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331728.279018 y=423315.817609 z=230.312463,
2024-05-08 15:29:17:472,id=386496144C781D77536130A25FC15593_0 x=331840.212541 y=423468.005709 z=233.149247,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331727.784898 y=423316.228447 z=230.329927,
2024-05-08 15:29:17:501,id=386496144C781D77536130A25FC15593_0 x=331839.629744 y=423468.423719 z=233.167397,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331727.233547 y=423316.686869 z=230.349436,
2024-05-08 15:29:17:526,id=386496144C781D77536130A25FC15593_0 x=331839.121914 y=423468.787958 z=233.183207,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331726.753123 y=423317.086319 z=230.366418,
2024-05-08 15:29:17:552,id=386496144C781D77536130A25FC15593_0 x=331838.600676 y=423469.161815 z=233.199432,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331726.260006 y=423317.496323 z=230.383865,
2024-05-08 15:29:17:576,id=386496144C781D77536130A25FC15593_0 x=331838.105989 y=423469.516628 z=233.214833,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331725.792008 y=423317.885441 z=230.400415,
2024-05-08 15:29:17:602,id=386496144C781D77536130A25FC15593_0 x=331837.590557 y=423469.886321 z=233.230884,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331725.304387 y=423318.290875 z=230.417666,
2024-05-08 15:29:17:627,id=386496144C781D77536130A25FC15593_0 x=331837.078135 y=423470.253854 z=233.246839,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331724.819614 y=423318.693941 z=230.434811,
2024-05-08 15:29:17:651,id=386496144C781D77536130A25FC15593_0 x=331836.585662 y=423470.60708 z=233.262176,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331724.353712 y=423319.081316 z=230.451287,
2024-05-08 15:29:17:677,id=386496144C781D77536130A25FC15593_0 x=331836.06252 y=423470.982302 z=233.278467,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331723.858799 y=423319.492813 z=230.468786,
2024-05-08 15:29:17:703,id=386496144C781D77536130A25FC15593_0 x=331835.53535 y=423471.360414 z=233.294876,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331723.360073 y=423319.90748 z=230.486432,
2024-05-08 15:29:17:726,id=386496144C781D77536130A25FC15593_0 x=331835.05298 y=423471.706392 z=233.309898,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331722.90373 y=423320.286908 z=230.502571,
2024-05-08 15:29:17:753,id=386496144C781D77536130A25FC15593_0 x=331834.501813 y=423472.101716 z=233.327057,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331722.3823 y=423320.720452 z=230.521008,
2024-05-08 15:29:17:778,id=386496144C781D77536130A25FC15593_0 x=331834.003362 y=423472.459228 z=233.342572,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331721.910743 y=423321.11253 z=230.537685,
2024-05-08 15:29:17:802,id=386496144C781D77536130A25FC15593_0 x=331833.515503 y=423472.809144 z=233.357764,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331721.449211 y=423321.496272 z=230.554011,
2024-05-08 15:29:17:828,id=386496144C781D77536130A25FC15593_0 x=331832.977194 y=423473.195245 z=233.37453,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331720.939943 y=423321.919704 z=230.572035,
2024-05-08 15:29:17:855,id=386496144C781D77536130A25FC15593_0 x=331832.430442 y=423473.587401 z=233.391549,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331720.422695 y=423322.349772 z=230.590326,
2024-05-08 15:29:17:882,id=386496144C781D77536130A25FC15593_0 x=331831.897616 y=423473.96957 z=233.408139,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331719.918617 y=423322.768889 z=230.608151,
2024-05-08 15:29:17:908,id=386496144C781D77536130A25FC15593_0 x=331831.363205 y=423474.352875 z=233.424779,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331719.41304 y=423323.189252 z=230.626031,
2024-05-08 15:29:17:935,id=386496144C781D77536130A25FC15593_0 x=331830.819064 y=423474.743159 z=233.441719,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331718.898261 y=423323.617266 z=230.644239,
2024-05-08 15:29:17:959,id=386496144C781D77536130A25FC15593_0 x=331830.326938 y=423475.096135 z=233.457046,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331718.432687 y=423324.004369 z=230.660706,
